id,name,salary,department
1,Employee_1,113419,Finance
2,Employee_2,44395,Finance
3,Employee_3,134158,Sales
4,Employee_4,59648,Sales
5,Employee_5,96002,Finance
6,Employee_6,69460,Sales
7,Employee_7,39196,Finance
8,Employee_8,132461,Finance
9,Employee_9,111085,Sales
10,Employee_10,93008,Finance
11,Employee_11,30468,Sales
12,Employee_12,72701,Sales
13,Employee_13,148531,Sales
14,Employee_14,126465,Finance
15,Employee_15,40520,HR
16,Employee_16,90141,IT
17,Employee_17,115856,Sales
18,Employee_18,88645,HR
19,Employee_19,70354,Finance
20,Employee_20,51083,HR
21,Employee_21,39485,Sales
22,Employee_22,40799,HR
23,Employee_23,38508,HR
24,Employee_24,85424,Finance
25,Employee_25,79715,Sales
26,Employee_26,124772,Finance
27,Employee_27,133047,IT
28,Employee_28,116742,IT
29,Employee_29,92251,Finance
30,Employee_30,143389,Finance
31,Employee_31,113311,Sales
32,Employee_32,32143,Sales
33,Employee_33,100896,Finance
34,Employee_34,73381,Sales
35,Employee_35,109648,IT
36,Employee_36,60824,IT
37,Employee_37,89882,HR
38,Employee_38,71433,HR
39,Employee_39,62161,Sales
40,Employee_40,146526,HR
41,Employee_41,105817,Finance
42,Employee_42,145351,Sales
43,Employee_43,50852,IT
44,Employee_44,138244,HR
45,Employee_45,137025,HR
46,Employee_46,94693,HR
47,Employee_47,69835,HR
48,Employee_48,56423,Finance
49,Employee_49,111195,IT
50,Employee_50,43865,Finance
51,Employee_51,121219,Sales
52,Employee_52,138092,IT
53,Employee_53,47974,Sales
54,Employee_54,117261,HR
55,Employee_55,146651,IT
56,Employee_56,94255,Sales
57,Employee_57,108200,Finance
58,Employee_58,59650,HR
59,Employee_59,128748,Finance
60,Employee_60,71955,Sales
61,Employee_61,43050,IT
62,Employee_62,125944,Finance
63,Employee_63,58739,Sales
64,Employee_64,96417,HR
65,Employee_65,148819,Finance
66,Employee_66,65673,Sales
67,Employee_67,54827,HR
68,Employee_68,146290,Sales
69,Employee_69,135370,IT
70,Employee_70,115172,HR
71,Employee_71,69468,IT
72,Employee_72,104403,IT
73,Employee_73,92822,Finance
74,Employee_74,67380,Sales
75,Employee_75,104544,Finance
76,Employee_76,79847,Sales
77,Employee_77,92584,Sales
78,Employee_78,94982,Finance
79,Employee_79,116830,IT
80,Employee_80,130357,IT
81,Employee_81,65811,Sales
82,Employee_82,130963,HR
83,Employee_83,94763,IT
84,Employee_84,143915,Sales
85,Employee_85,41534,Sales
86,Employee_86,42789,Finance
87,Employee_87,103898,Sales
88,Employee_88,74852,Finance
89,Employee_89,65769,IT
90,Employee_90,55042,IT
91,Employee_91,141481,Sales
92,Employee_92,33829,Finance
93,Employee_93,73705,Finance
94,Employee_94,46186,HR
95,Employee_95,87463,HR
96,Employee_96,55613,Sales
97,Employee_97,118836,Finance
98,Employee_98,75871,HR
99,Employee_99,145253,IT
100,Employee_100,83923,HR
101,Employee_101,106139,HR
102,Employee_102,95388,HR
103,Employee_103,127767,HR
104,Employee_104,72748,HR
105,Employee_105,107948,Finance
106,Employee_106,45382,IT
107,Employee_107,96657,Sales
108,Employee_108,47349,IT
109,Employee_109,98768,IT
110,Employee_110,102235,Sales
111,Employee_111,64760,Sales
112,Employee_112,70798,HR
113,Employee_113,127926,Sales
114,Employee_114,107385,HR
115,Employee_115,143200,Finance
116,Employee_116,104846,Finance
117,Employee_117,53189,IT
118,Employee_118,66087,IT
119,Employee_119,102525,Finance
120,Employee_120,95726,IT
121,Employee_121,64392,Finance
122,Employee_122,71133,HR
123,Employee_123,82264,Finance
124,Employee_124,42714,HR
125,Employee_125,112127,Finance
126,Employee_126,87813,HR
127,Employee_127,94635,Finance
128,Employee_128,128345,HR
129,Employee_129,51587,Sales
130,Employee_130,78246,Sales
131,Employee_131,139505,Sales
132,Employee_132,145890,HR
133,Employee_133,147630,Finance
134,Employee_134,86866,Sales
135,Employee_135,69131,HR
136,Employee_136,130887,Sales
137,Employee_137,35307,IT
138,Employee_138,67553,Finance
139,Employee_139,98570,IT
140,Employee_140,148378,HR
141,Employee_141,133411,HR
142,Employee_142,73012,HR
143,Employee_143,132587,IT
144,Employee_144,39157,IT
145,Employee_145,142441,Finance
146,Employee_146,93252,Sales
147,Employee_147,93790,Finance
148,Employee_148,100463,Finance
149,Employee_149,106463,HR
150,Employee_150,53832,Sales
151,Employee_151,40376,HR
152,Employee_152,100023,HR
153,Employee_153,66971,Sales
154,Employee_154,136834,Sales
155,Employee_155,127923,Finance
156,Employee_156,143293,Finance
157,Employee_157,85898,HR
158,Employee_158,51185,Sales
159,Employee_159,47249,IT
160,Employee_160,63301,Finance
161,Employee_161,79707,Finance
162,Employee_162,135154,HR
163,Employee_163,82257,Sales
164,Employee_164,30733,Sales
165,Employee_165,44585,IT
166,Employee_166,39106,HR
167,Employee_167,106545,Finance
168,Employee_168,100846,Sales
169,Employee_169,32577,IT
170,Employee_170,38268,Finance
171,Employee_171,90634,Sales
172,Employee_172,58475,Sales
173,Employee_173,56016,IT
174,Employee_174,125983,HR
175,Employee_175,111564,Finance
176,Employee_176,52985,HR
177,Employee_177,112975,IT
178,Employee_178,84695,HR
